player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Victor Mederos,Atlanta Braves,25,10,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,3,1,1,2,0,0,0,1.000,-.--,0,-.--
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Max Clark,Detroit Tigers,21,3,1,2,4,2,0,1,3,3,0,6,0,.500,12,.600,.917,1.517,0,0,.---,.---,0,70,15,11,3,5,0,0,.625,0.50,0,12.00
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Eduardo Valencia,Detroit Tigers,26,11,6,3,9,3,0,4,8,0,0,14,1,.452,31,.469,.935,1.404,0,0,.---,.---,1,123,32,29,11,13,0,0,.526,2.00,0,7.75
Bryan De La Cruz,Philadelphia Phillies,29,9,3,6,4,1,0,2,5,2,0,9,2,.429,21,.481,.762,1.243,0,0,.---,.---,1,86,27,16,6,8,0,2,.438,0.50,0,10.50
Joshua Kuroda-Grauer,Athletics,23,16,19,9,8,7,0,1,7,1,0,25,1,.417,60,.435,.583,1.018,1,0,.000,1.000,3,226,62,35,4,18,0,0,.462,2.11,0,60.00
Abimelec Ortiz,Washington Nationals,24,2,1,2,1,1,0,1,0,0,0,2,0,.400,5,.400,1.200,1.600,0,0,.---,.---,1,28,5,6,1,2,0,0,.250,0.50,0,5.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Justin Dean,Chicago Cubs,29,17,1,0,3,0,1,0,4,2,0,3,0,.375,8,.500,.625,1.125,0,1,1.000,.000,0,37,10,5,3,8,0,0,.750,1.00,0,-.--
Brewer Hicklen,Atlanta Braves,30,8,2,2,5,4,0,0,8,4,0,7,0,.368,19,.478,.579,1.057,0,0,.---,.---,0,92,23,11,3,10,0,0,.636,1.00,0,-.--
José Azócar,Atlanta Braves,30,11,5,2,2,2,0,0,4,1,0,6,0,.353,17,.389,.471,.860,0,1,1.000,.000,0,69,18,8,0,10,0,0,.462,2.50,0,-.--
Osleivis Basabe,San Francisco Giants,25,5,4,3,2,1,0,2,2,0,0,4,1,.333,12,.357,.917,1.274,0,0,.---,.---,0,57,14,11,6,3,0,1,.222,1.33,0,6.00
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
Yordan Alvarez,Houston Astros,29,112,66,125,77,24,0,35,84,79,23,134,6,.330,406,.443,.648,1.091,0,1,1.000,.000,5,1878,494,263,84,133,0,3,.341,0.53,0,11.60
Samad Taylor,San Diego Padres,27,26,24,7,14,1,1,1,30,12,0,29,0,.330,88,.410,.398,.808,1,6,.857,.143,2,411,102,35,11,30,2,0,.491,3.43,0,88.00
Tyler Tolbert,Kansas City Royals,28,48,26,18,22,3,0,3,15,6,0,26,0,.325,80,.368,.475,.843,3,15,.833,.167,3,305,91,38,6,42,4,1,.365,1.44,0,26.67
Luis Arraez,San Francisco Giants,29,105,121,157,52,23,7,4,21,25,4,136,4,.324,420,.360,.440,.800,0,10,1.000,.000,7,1711,464,185,43,109,6,9,.327,0.77,0,105.00
Otto Lopez,Miami Marlins,27,109,131,110,68,28,7,9,64,23,0,140,4,.321,436,.354,.479,.833,4,23,.852,.148,8,1729,472,209,51,156,0,9,.352,1.19,0,48.44
Jeremy Peña,Houston Astros,28,66,62,63,53,12,1,13,53,18,0,83,6,.320,259,.375,.525,.900,1,8,.889,.111,2,1049,285,136,37,78,0,2,.359,0.98,0,19.92
James McCann,Arizona Diamondbacks,36,30,26,14,10,5,0,3,24,2,0,29,1,.319,91,.340,.473,.813,0,0,.---,.---,4,361,96,43,19,30,2,0,.406,1.86,0,30.33
Jordan Lawlar,Arizona Diamondbacks,23,12,6,10,6,2,0,1,10,3,0,12,3,.316,38,.409,.447,.856,0,4,1.000,.000,0,175,44,17,4,15,0,0,.407,0.60,0,38.00
Luis Campusano,San Diego Padres,27,38,20,24,14,9,0,4,28,16,0,33,1,.314,105,.410,.514,.924,0,0,.---,.---,3,509,122,54,16,45,0,0,.397,0.83,0,26.25
Enrique Hernández,Los Angeles Dodgers,34,7,5,3,2,2,0,1,3,0,0,5,0,.313,16,.313,.625,.938,0,0,.---,.---,0,52,16,10,2,5,0,0,.333,1.67,0,16.00
John Rave,Kansas City Royals,28,13,7,7,6,4,1,2,8,3,0,10,0,.313,32,.371,.688,1.059,0,1,1.000,.000,0,134,35,22,2,16,0,0,.364,1.00,0,16.00
Blaze Alexander,Baltimore Orioles,27,82,58,43,31,12,2,4,54,16,1,69,4,.312,221,.368,.439,.807,3,9,.750,.250,5,936,246,97,29,79,2,1,.396,1.35,2,55.25
Freddie Freeman,Los Angeles Dodgers,36,110,111,104,57,27,1,15,77,50,1,129,3,.309,417,.384,.487,.871,0,5,1.000,.000,16,1945,474,203,54,183,0,4,.347,1.07,0,27.80
Nick Gonzales,Pittsburgh Pirates,27,108,118,89,61,18,1,6,78,28,0,127,7,.309,411,.362,.401,.763,2,5,.714,.286,11,1645,447,165,50,171,0,1,.369,1.33,0,68.50
Cole Carrigg,Colorado Rockies,24,45,26,46,33,11,3,5,34,19,1,45,3,.308,146,.390,.527,.917,3,5,.625,.375,1,666,173,77,28,59,1,4,.360,0.57,0,29.20
Alex Jackson,Minnesota Twins,30,27,13,10,10,4,0,1,22,1,0,20,2,.308,65,.338,.415,.753,0,0,.---,.---,0,249,68,27,5,22,0,0,.452,1.30,0,65.00
Trey Mancini,Los Angeles Angels,34,5,4,3,1,0,1,0,3,0,0,4,0,.308,13,.286,.462,.748,0,0,.---,.---,1,49,14,6,4,8,0,1,.364,1.33,0,-.--
Pedro Ramírez,Chicago Cubs,22,40,29,24,15,8,1,1,19,10,1,31,0,.307,101,.366,.436,.802,0,5,1.000,.000,3,392,113,44,14,35,1,1,.366,1.21,0,101.00
Jung Hoo Lee,San Francisco Giants,27,103,122,109,55,25,4,8,43,17,0,119,6,.306,389,.341,.452,.793,1,8,.889,.111,5,1516,416,176,43,116,0,4,.325,1.12,0,48.62
Jake Mangum,Pittsburgh Pirates,30,91,96,55,40,11,1,3,59,16,1,89,8,.302,295,.353,.376,.729,7,20,.741,.259,6,1191,323,111,24,136,3,1,.368,1.75,0,98.33
Tommy Edman,Los Angeles Dodgers,31,37,32,26,20,6,2,3,28,10,0,36,5,.300,120,.378,.458,.836,2,3,.600,.400,2,497,137,55,21,51,2,0,.371,1.23,0,40.00
Andrew Vaughn,Milwaukee Brewers,28,68,48,55,24,15,2,4,28,25,1,55,4,.299,184,.391,.467,.858,0,0,.---,.---,5,855,215,86,29,107,0,2,.331,0.87,0,46.00
Yandy Díaz,Tampa Bay Rays,34,108,124,104,59,19,1,15,70,42,4,125,9,.298,419,.371,.456,.827,1,2,.667,.333,12,1774,474,191,64,131,0,4,.325,1.19,0,27.93
Chandler Simpson,Tampa Bay Rays,25,105,149,95,46,11,6,0,39,20,0,115,0,.298,386,.328,.358,.686,11,28,.718,.282,4,1369,418,138,22,131,7,5,.327,1.57,0,-.--
Gabriel Moreno,Arizona Diamondbacks,26,85,81,84,46,18,0,8,52,40,0,89,4,.298,299,.380,.438,.818,1,4,.800,.200,6,1533,350,131,47,122,0,7,.329,0.96,0,37.38
TJ Rumfield,Colorado Rockies,26,110,104,107,48,23,2,13,65,44,0,115,7,.296,389,.376,.465,.841,0,0,.---,.---,2,1648,442,181,58,147,0,2,.326,0.97,0,29.92
Wade Meckler,Los Angeles Angels,26,54,37,31,20,9,0,3,37,15,0,44,1,.295,149,.364,.416,.780,0,3,1.000,.000,1,579,165,62,19,52,0,0,.376,1.19,0,49.67
Ty France,San Diego Padres,31,87,64,63,38,13,2,16,69,15,1,80,10,.294,272,.349,.533,.882,1,1,.500,.500,7,1211,302,145,49,118,0,4,.335,1.02,1,17.00
Josh Jung,Texas Rangers,28,92,88,94,46,23,1,9,71,33,0,104,6,.294,354,.361,.441,.802,1,1,.500,.500,14,1461,396,156,35,140,0,3,.343,0.94,0,39.33
Shohei Ohtani,Los Angeles Dodgers,31,107,84,92,71,22,2,24,108,67,16,116,5,.294,395,.398,.542,.940,2,6,.750,.250,6,1778,474,214,67,129,0,5,.343,0.91,2,16.46
Victor Bericoto,San Francisco Giants,24,24,15,11,7,3,0,4,15,1,0,17,0,.293,58,.305,.552,.857,2,1,.333,.667,2,229,59,32,9,26,0,0,.333,1.36,0,14.50
Ryan Jeffers,Minnesota Twins,29,51,42,52,31,9,1,10,32,28,0,51,2,.291,175,.393,.526,.919,0,1,1.000,.000,2,887,207,92,36,58,0,1,.306,0.81,0,17.50
Brandon Lockridge,Milwaukee Brewers,29,29,28,8,9,4,0,0,26,10,0,25,0,.291,86,.365,.337,.702,0,5,1.000,.000,0,417,97,29,12,32,1,0,.417,3.50,0,-.--
Eloy Jiménez,Toronto Blue Jays,29,12,7,9,2,0,0,0,7,3,0,9,0,.290,31,.343,.290,.633,0,0,.---,.---,1,130,35,9,3,12,0,1,.360,0.78,0,-.--
Christian Encarnacion-Strand,Baltimore Orioles,26,11,9,11,5,2,0,3,8,4,1,11,0,.289,38,.357,.579,.936,0,0,.---,.---,1,149,43,22,11,24,1,0,.296,0.82,0,12.67
