player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Robby Ahlstrom,Texas Rangers,27,2,0,4,4,0,0,0,0,2,0,0,1,0,.091,11,.091,.091,.182,0,0,.---,.---,0,42,0.00,3.1,0,0,0,0,0,0,0,0.30,11,10,2,0,0,29,.690,0,0,0,0,1,1.00,.---,12.60,1,-.--,5.40,0.00,2.70,0.00,0.00,2,1,0,0,0
Logan Allen,Cleveland Guardians,27,1,0,3,3,2,1,0,0,7,1,0,5,0,.278,18,.316,.333,.649,0,0,.---,.---,0,83,0.00,4.0,0,0,0,0,0,0,0,1.50,19,12,1,0,0,50,.600,0,0,0,0,6,1.00,.---,20.75,1,7.00,15.75,2.25,11.25,4.50,0.00,0,0,0,0,0
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Mason Barnett,Athletics,25,2,0,5,4,0,0,0,0,8,4,0,2,0,.105,19,.261,.105,.366,1,0,.000,1.000,0,107,0.00,6.0,0,0,0,0,0,0,0,1.00,23,18,2,0,0,59,.550,0,0,0,0,2,1.25,.---,17.83,1,2.00,12.00,6.00,3.00,0.00,0.00,1,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
Cam Booser,Tampa Bay Rays,34,2,0,0,5,0,0,0,0,4,1,0,1,0,.100,10,.182,.100,.282,0,0,.---,.---,0,47,0.00,3.0,0,0,0,0,0,0,0,0.67,11,9,2,0,0,29,.620,0,0,0,0,1,0.00,.---,15.67,0,4.00,12.00,3.00,3.00,0.00,0.00,0,0,0,0,0
Carlos Cortes,Athletics,29,2,0,4,2,0,1,0,0,0,2,0,1,0,.143,7,.333,.286,.619,0,0,.---,.---,0,28,0.00,2.0,0,0,0,0,0,0,0,1.50,9,6,2,0,0,17,.610,0,0,1,0,2,2.00,.---,14.00,2,0.00,0.00,9.00,4.50,0.00,0.00,0,0,0,0,0
Yovanny Cruz,New York Yankees,26,2,0,1,3,0,1,0,0,3,0,0,1,1,.125,8,.222,.250,.472,0,0,.---,.---,0,26,0.00,2.1,0,0,0,0,0,0,0,0.43,9,7,2,0,0,19,.730,1,0,0,0,2,0.33,.---,11.14,1,-.--,11.57,0.00,3.86,0.00,0.00,0,0,0,0,0
Nick Davila,Seattle Mariners,27,7,0,8,8,0,1,0,0,4,6,0,3,0,.130,23,.310,.174,.484,1,0,.000,1.000,0,122,0.00,7.1,0,0,0,0,1,0,0,1.23,29,22,7,0,0,72,.590,0,0,0,0,4,1.00,.---,16.64,2,0.67,4.91,7.36,3.68,0.00,0.00,1,0,0,0,0
Duncan Davitt,Chicago White Sox,26,1,0,1,1,0,0,0,0,0,1,0,0,0,.000,2,.333,.000,.333,0,0,.---,.---,1,14,0.00,1.0,0,0,0,0,0,0,0,1.00,3,3,1,0,0,8,.570,0,0,0,0,0,1.00,.---,14.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0
