player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Victor Mederos,Atlanta Braves,25,10,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,3,1,1,2,0,0,0,1.000,-.--,0,-.--
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
George Lombard Jr.,New York Yankees,21,1,1,0,1,0,0,1,0,1,0,1,0,.500,2,.667,2.000,2.667,0,0,.---,.---,0,12,3,4,1,0,0,0,.000,1.00,0,2.00
Eduardo Valencia,Detroit Tigers,26,11,6,3,9,3,0,4,8,0,0,14,1,.452,31,.469,.935,1.404,0,0,.---,.---,1,123,32,29,11,13,0,0,.526,2.00,0,7.75
Bryan De La Cruz,Philadelphia Phillies,29,9,3,6,4,1,0,2,5,2,0,9,2,.429,21,.481,.762,1.243,0,0,.---,.---,1,86,27,16,6,8,0,2,.438,0.50,0,10.50
Joshua Kuroda-Grauer,Athletics,23,16,19,9,8,7,0,1,7,1,0,25,1,.417,60,.435,.583,1.018,1,0,.000,1.000,3,226,62,35,4,18,0,0,.462,2.11,0,60.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Max Clark,Detroit Tigers,21,4,1,3,4,2,0,1,6,4,0,6,0,.375,16,.500,.688,1.188,0,0,.---,.---,0,95,20,11,3,8,0,0,.556,0.33,0,16.00
Justin Dean,Chicago Cubs,29,17,1,0,3,0,1,0,4,2,0,3,0,.375,8,.500,.625,1.125,0,1,1.000,.000,0,37,10,5,3,8,0,0,.750,1.00,0,-.--
Brewer Hicklen,Atlanta Braves,30,8,2,2,5,4,0,0,8,4,0,7,0,.368,19,.478,.579,1.057,0,0,.---,.---,0,92,23,11,3,10,0,0,.636,1.00,0,-.--
José Azócar,Atlanta Braves,30,11,5,2,2,2,0,0,4,1,0,6,0,.353,17,.389,.471,.860,0,1,1.000,.000,0,69,18,8,0,10,0,0,.462,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
Abimelec Ortiz,Washington Nationals,24,3,1,3,1,1,0,1,0,0,0,2,0,.333,6,.333,1.000,1.333,0,0,.---,.---,1,33,6,6,1,2,0,0,.200,0.33,0,6.00
Samad Taylor,San Diego Padres,27,26,24,7,14,1,1,1,30,12,0,29,0,.330,88,.410,.398,.808,1,6,.857,.143,2,411,102,35,11,30,2,0,.491,3.43,0,88.00
Yordan Alvarez,Houston Astros,29,113,67,126,78,24,0,35,85,80,23,135,6,.329,410,.443,.644,1.087,0,1,1.000,.000,5,1900,499,264,84,135,0,3,.341,0.53,0,11.71
Luis Arraez,Philadelphia Phillies,29,106,122,158,53,24,7,4,21,25,4,138,4,.325,424,.361,.443,.804,0,10,1.000,.000,7,1733,468,188,45,110,6,9,.328,0.77,0,106.00
Tyler Tolbert,Kansas City Royals,28,49,26,18,22,3,0,3,15,6,0,26,0,.325,80,.368,.475,.843,3,15,.833,.167,3,305,91,38,6,42,4,1,.365,1.44,0,26.67
Otto Lopez,Miami Marlins,27,110,132,111,69,29,7,9,64,23,0,142,4,.323,440,.355,.482,.837,4,23,.852,.148,8,1738,476,212,51,157,0,9,.354,1.19,0,48.89
James McCann,Arizona Diamondbacks,36,31,27,15,11,5,0,4,24,2,0,30,1,.319,94,.340,.500,.840,0,0,.---,.---,4,371,99,47,21,30,2,0,.394,1.80,0,23.50
Jeremy Peña,Houston Astros,28,67,63,64,53,12,1,13,54,20,0,83,6,.317,262,.376,.519,.895,1,8,.889,.111,2,1074,290,136,37,81,0,2,.355,0.98,0,20.15
Jordan Lawlar,Arizona Diamondbacks,23,12,6,10,6,2,0,1,10,3,0,12,3,.316,38,.409,.447,.856,0,4,1.000,.000,0,175,44,17,4,15,0,0,.407,0.60,0,38.00
Luis Campusano,San Diego Padres,27,38,20,24,14,9,0,4,28,16,0,33,1,.314,105,.410,.514,.924,0,0,.---,.---,3,509,122,54,16,45,0,0,.397,0.83,0,26.25
Enrique Hernández,Los Angeles Dodgers,34,7,5,3,2,2,0,1,3,0,0,5,0,.313,16,.313,.625,.938,0,0,.---,.---,0,52,16,10,2,5,0,0,.333,1.67,0,16.00
Blaze Alexander,Baltimore Orioles,27,82,58,43,31,12,2,4,54,16,1,69,4,.312,221,.368,.439,.807,3,9,.750,.250,5,936,246,97,29,79,2,1,.396,1.35,2,55.25
Freddie Freeman,Los Angeles Dodgers,36,111,112,104,57,27,1,15,78,51,1,130,3,.310,420,.385,.486,.871,0,5,1.000,.000,16,1962,478,204,54,183,0,4,.347,1.08,0,28.00
Alex Jackson,Minnesota Twins,30,27,13,10,10,4,0,1,22,1,0,20,2,.308,65,.338,.415,.753,0,0,.---,.---,0,249,68,27,5,22,0,0,.452,1.30,0,65.00
Trey Mancini,Los Angeles Angels,34,5,4,3,1,0,1,0,3,0,0,4,0,.308,13,.286,.462,.748,0,0,.---,.---,1,49,14,6,4,8,0,1,.364,1.33,0,-.--
Cole Carrigg,Colorado Rockies,24,46,26,48,33,11,3,5,35,20,2,46,3,.307,150,.390,.520,.910,3,5,.625,.375,1,684,178,78,28,62,1,4,.360,0.54,0,30.00
Nick Gonzales,Pittsburgh Pirates,27,109,120,91,61,18,1,6,78,28,0,127,7,.306,415,.359,.398,.757,2,5,.714,.286,11,1661,451,165,50,171,0,1,.364,1.32,0,69.17
Jung Hoo Lee,San Francisco Giants,27,104,124,111,55,26,4,8,43,17,0,120,6,.305,394,.340,.452,.792,1,8,.889,.111,5,1534,421,178,43,117,0,4,.323,1.12,0,49.25
Wade Meckler,Los Angeles Angels,26,55,37,31,20,9,0,3,38,16,0,46,1,.303,152,.373,.421,.794,0,3,1.000,.000,1,594,169,64,19,53,0,0,.387,1.19,0,50.67
Jake Mangum,Pittsburgh Pirates,30,92,96,56,40,11,1,3,60,17,1,90,8,.302,298,.355,.376,.731,7,20,.741,.259,6,1207,327,112,24,137,3,1,.369,1.71,0,99.33
Yandy Díaz,Tampa Bay Rays,34,109,124,105,61,20,1,15,72,43,4,127,9,.300,424,.373,.458,.831,1,3,.750,.250,12,1796,480,194,64,134,0,4,.328,1.18,0,28.27
Andrew Vaughn,Milwaukee Brewers,28,69,48,55,25,15,2,5,30,26,1,56,4,.299,187,.393,.481,.874,0,0,.---,.---,5,870,219,90,30,107,0,2,.331,0.87,0,37.40
Chandler Simpson,Tampa Bay Rays,25,106,151,96,46,11,6,0,39,20,0,117,0,.299,391,.329,.358,.687,11,29,.725,.275,4,1387,423,140,22,132,7,5,.328,1.57,0,-.--
Gabriel Moreno,Arizona Diamondbacks,26,85,81,84,46,18,0,8,52,40,0,89,4,.298,299,.380,.438,.818,1,4,.800,.200,6,1533,350,131,47,122,0,7,.329,0.96,0,37.38
Pedro Ramírez,Chicago Cubs,22,41,30,26,15,8,1,1,20,10,1,31,0,.295,105,.353,.419,.772,0,5,1.000,.000,3,407,117,44,14,38,1,1,.353,1.15,0,105.00
TJ Rumfield,Colorado Rockies,26,111,106,109,48,24,2,13,65,44,0,116,7,.294,394,.374,.464,.838,0,0,.---,.---,3,1664,447,183,58,150,0,2,.324,0.97,0,30.31
Osleivis Basabe,San Francisco Giants,25,6,6,5,3,1,0,3,2,0,0,5,1,.294,17,.316,.882,1.198,0,0,.---,.---,0,70,19,15,8,4,0,1,.154,1.20,0,5.67
John Rave,Kansas City Royals,28,14,9,8,6,4,1,2,8,3,0,10,0,.294,34,.351,.647,.998,0,1,1.000,.000,0,141,38,22,2,16,1,0,.333,1.13,0,17.00
Josh Jung,Texas Rangers,28,92,88,94,46,23,1,9,71,33,0,104,6,.294,354,.361,.441,.802,1,1,.500,.500,14,1461,396,156,35,140,0,3,.343,0.94,0,39.33
Jake McCarthy,Colorado Rockies,28,99,96,93,52,23,7,11,67,18,0,103,4,.293,351,.332,.493,.825,4,17,.810,.190,4,1255,381,173,64,121,4,4,.332,1.03,0,31.91
Shohei Ohtani,Los Angeles Dodgers,31,108,85,94,71,22,2,24,108,67,16,117,5,.293,399,.397,.539,.936,2,6,.750,.250,6,1793,478,215,67,129,0,5,.342,0.90,2,16.62
Victor Bericoto,San Francisco Giants,24,24,15,11,7,3,0,4,15,1,0,17,0,.293,58,.305,.552,.857,2,1,.333,.667,2,229,59,32,9,26,0,0,.333,1.36,0,14.50
Tommy Edman,Los Angeles Dodgers,31,38,34,27,20,6,2,3,28,10,0,36,5,.293,123,.370,.447,.817,2,3,.600,.400,2,504,140,55,21,52,2,0,.359,1.26,0,41.00
Cooper Pratt,Milwaukee Brewers,21,40,32,30,19,4,1,2,28,18,0,36,1,.293,123,.379,.390,.769,2,10,.833,.167,5,563,145,48,16,61,0,3,.354,1.07,0,61.50
Brandon Lockridge,Milwaukee Brewers,29,29,28,8,9,4,0,0,26,10,0,25,0,.291,86,.365,.337,.702,0,5,1.000,.000,0,417,97,29,12,32,1,0,.417,3.50,0,-.--
Eloy Jiménez,Toronto Blue Jays,29,12,7,9,2,0,0,0,7,3,0,9,0,.290,31,.343,.290,.633,0,0,.---,.---,1,130,35,9,3,12,0,1,.360,0.78,0,-.--
