player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
DaShawn Keirsey Jr.,Atlanta Braves,29,2,0,0,2,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,1,1,1,0,0,0,0,1.000,-.--,0,-.--
Victor Mederos,Atlanta Braves,25,28,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,3,1,1,2,0,0,0,1.000,-.--,0,-.--
Jihwan Bae,Milwaukee Brewers,26,4,1,0,1,0,0,0,1,0,0,1,1,.500,2,.667,.500,1.167,0,1,1.000,.000,0,13,4,1,0,0,1,0,1.000,1.00,0,-.--
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Vimael Machín,Colorado Rockies,32,3,1,0,0,0,0,0,2,0,0,3,0,.500,6,.500,.500,1.000,0,0,.---,.---,0,24,6,3,0,0,0,0,.750,1.00,0,-.--
Joshua Kuroda-Grauer,Athletics,23,17,20,9,8,7,0,1,8,1,0,25,1,.403,62,.422,.565,.987,1,0,.000,1.000,4,232,64,35,4,20,0,0,.453,2.22,0,62.00
Justin Dean,Chicago Cubs,29,17,1,0,3,0,1,0,4,2,0,3,0,.375,8,.500,.625,1.125,0,1,1.000,.000,0,37,10,5,3,8,0,0,.750,1.00,0,-.--
Gustavo Campero,Los Angeles Angels,28,4,0,4,0,1,0,0,4,0,0,4,0,.364,11,.333,.455,.788,0,0,.---,.---,0,50,12,5,2,4,0,1,.500,0.00,0,-.--
José Azócar,Atlanta Braves,30,11,5,2,2,2,0,0,4,1,0,6,0,.353,17,.389,.471,.860,0,1,1.000,.000,0,69,18,8,0,10,0,0,.462,2.50,0,-.--
Eduardo Valencia,Detroit Tigers,26,38,28,21,20,13,0,6,28,3,0,40,2,.342,117,.369,.607,.976,0,0,.---,.---,3,464,123,71,18,57,0,0,.410,1.33,1,19.50
Samad Taylor,San Diego Padres,27,43,34,21,25,4,2,2,40,17,0,47,1,.341,138,.414,.442,.856,3,10,.769,.231,2,632,160,61,18,50,3,1,.464,1.62,0,69.00
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
