player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
Tyler Callihan,Pittsburgh Pirates,26,4,0,2,6,0,0,0,0,1,3,0,3,0,.250,12,.400,.250,.650,0,0,.---,.---,0,53,0.00,3.0,0,0,0,0,0,0,0,2.00,15,9,4,0,0,26,.490,0,0,0,0,3,0.33,.---,17.67,4,0.33,3.00,9.00,9.00,0.00,0.00,2,0,0,0,0
Eiberson Castellano,Colorado Rockies,25,1,0,3,2,0,1,0,0,2,0,0,4,1,.364,11,.417,.455,.872,0,0,.---,.---,1,35,0.00,3.0,0,0,1,1,0,0,0,1.33,12,9,1,0,0,24,.690,1,0,0,0,5,1.50,.---,11.67,1,-.--,6.00,0.00,12.00,0.00,0.00,0,0,0,0,0
Khristian Curtis,Pittsburgh Pirates,24,2,0,7,10,0,0,0,0,5,3,0,2,0,.083,24,.185,.083,.268,0,0,.---,.---,2,109,0.00,8.0,0,0,0,0,0,0,0,0.63,27,24,2,0,0,67,.610,0,0,1,0,2,0.70,.---,13.63,1,1.67,5.63,3.38,2.25,0.00,0.00,0,0,0,0,0
Jose Espada,Baltimore Orioles,29,1,0,1,1,0,0,0,0,0,0,0,2,0,.500,4,.500,.500,1.000,0,0,.---,.---,1,15,0.00,1.0,0,0,0,0,0,0,0,2.00,4,3,1,0,0,10,.670,0,0,0,0,2,1.00,.---,15.00,1,-.--,0.00,0.00,18.00,0.00,0.00,0,0,0,0,0
Rafael Flores Jr.,Pittsburgh Pirates,25,1,0,1,2,0,0,0,0,0,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,8,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,7,.880,0,0,0,0,2,0.50,.---,8.00,1,-.--,0.00,0.00,18.00,0.00,0.00,0,0,0,0,0
Michael Fulmer,New York Yankees,33,4,0,6,3,0,0,0,0,5,2,1,2,0,.125,16,.222,.125,.347,0,0,.---,.---,0,70,0.00,4.2,0,0,0,0,1,0,0,0.86,18,14,4,0,0,47,.670,0,0,0,0,2,2.00,.---,15.00,0,2.50,9.64,3.86,3.86,0.00,0.00,1,0,0,0,0
Anthony Gose,Kansas City Royals,35,1,0,1,2,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,.---,0,12,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,7,.580,0,0,0,0,0,0.50,.---,12.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Sam Haggerty,Texas Rangers,32,1,0,2,0,0,0,0,0,0,0,0,0,1,.000,2,.333,.000,.333,0,0,.---,.---,1,6,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,5,.830,1,0,0,0,0,2.00,.---,6.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Kevin Herget,New York Mets,35,1,0,1,2,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,.---,0,11,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,7,.640,0,0,0,0,0,0.50,.---,11.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Welinton Herrera,Colorado Rockies,22,3,0,2,3,0,0,0,0,2,1,0,2,0,.222,9,.300,.222,.522,0,0,.---,.---,0,45,0.00,2.1,0,0,0,0,0,0,0,1.29,10,7,3,0,0,28,.620,0,0,0,0,2,0.67,.---,19.29,1,2.00,7.71,3.86,7.71,0.00,0.00,0,0,0,0,0
P.J. Higgins,Cincinnati Reds,33,1,0,0,2,0,0,0,0,1,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,.---,0,10,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,7,.700,0,0,0,0,0,0.00,.---,10.00,1,-.--,9.00,0.00,0.00,0.00,0.00,0,0,0,0,0
