player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
DaShawn Keirsey Jr.,Atlanta Braves,29,2,0,0,2,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,1,1,1,0,0,0,0,1.000,-.--,0,-.--
Victor Mederos,Atlanta Braves,25,27,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,3,1,1,2,0,0,0,1.000,-.--,0,-.--
Jihwan Bae,Milwaukee Brewers,26,4,1,0,1,0,0,0,1,0,0,1,1,.500,2,.667,.500,1.167,0,1,1.000,.000,0,13,4,1,0,0,1,0,1.000,1.00,0,-.--
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Vimael Machín,Colorado Rockies,32,3,1,0,0,0,0,0,2,0,0,3,0,.500,6,.500,.500,1.000,0,0,.---,.---,0,24,6,3,0,0,0,0,.750,1.00,0,-.--
Joshua Kuroda-Grauer,Athletics,23,16,19,9,8,7,0,1,7,1,0,25,1,.417,60,.435,.583,1.018,1,0,.000,1.000,3,226,62,35,4,18,0,0,.462,2.11,0,60.00
Justin Dean,Chicago Cubs,29,17,1,0,3,0,1,0,4,2,0,3,0,.375,8,.500,.625,1.125,0,1,1.000,.000,0,37,10,5,3,8,0,0,.750,1.00,0,-.--
Michael Arroyo,Seattle Mariners,21,8,3,5,4,2,0,1,5,4,0,7,0,.368,19,.458,.632,1.090,0,1,1.000,.000,0,75,24,12,3,5,0,1,.429,0.60,0,19.00
Gustavo Campero,Los Angeles Angels,28,4,0,4,0,1,0,0,4,0,0,4,0,.364,11,.333,.455,.788,0,0,.---,.---,0,50,12,5,2,4,0,1,.500,0.00,0,-.--
José Azócar,Atlanta Braves,30,11,5,2,2,2,0,0,4,1,0,6,0,.353,17,.389,.471,.860,0,1,1.000,.000,0,69,18,8,0,10,0,0,.462,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
