player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Robby Ahlstrom,Texas Rangers,27,4,0,6,7,0,0,0,0,3,0,0,3,0,.158,19,.158,.158,.316,0,1,1.000,.000,1,70,0.00,5.2,0,0,0,0,0,0,0,0.53,19,17,4,0,0,47,.670,0,0,0,0,3,0.86,.---,12.35,2,-.--,4.76,0.00,4.76,0.00,0.00,3,1,0,0,0
Logan Allen,Cleveland Guardians,27,1,0,3,3,2,1,0,0,7,1,0,5,0,.278,18,.316,.333,.649,0,0,.---,.---,0,83,0.00,4.0,0,0,0,0,0,0,0,1.50,19,12,1,0,0,50,.600,0,0,0,0,6,1.00,.---,20.75,1,7.00,15.75,2.25,11.25,4.50,0.00,0,0,0,0,0
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Mason Barnett,Athletics,25,3,0,6,5,0,0,0,0,12,4,0,2,0,.080,25,.207,.080,.287,1,0,.000,1.000,0,138,0.00,8.0,0,0,1,1,0,0,0,0.75,29,24,3,0,0,79,.570,0,0,0,0,2,1.20,.---,17.25,2,3.00,13.50,4.50,2.25,0.00,0.00,1,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
Cam Booser,Tampa Bay Rays,34,3,0,0,6,0,0,0,0,5,1,0,2,0,.154,13,.214,.154,.368,1,0,.000,1.000,0,57,0.00,4.0,0,0,0,0,1,0,0,0.75,14,12,3,0,0,37,.650,0,0,0,0,2,0.00,.---,14.25,0,5.00,11.25,2.25,4.50,0.00,0.00,0,0,0,0,0
Tyler Callihan,Pittsburgh Pirates,26,1,0,1,2,0,0,0,0,0,1,0,1,0,.250,4,.400,.250,.650,0,0,.---,.---,0,17,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,7,.410,0,0,0,0,1,0.50,.---,17.00,1,0.00,0.00,9.00,9.00,0.00,0.00,0,0,0,0,0
Carlos Cortes,Athletics,29,2,0,4,2,0,1,0,0,0,2,0,1,0,.143,7,.333,.286,.619,0,0,.---,.---,0,28,0.00,2.0,0,0,0,0,0,0,0,1.50,9,6,2,0,0,17,.610,0,0,1,0,2,2.00,.---,14.00,2,0.00,0.00,9.00,4.50,0.00,0.00,0,0,0,0,0
Jeff Criswell,Colorado Rockies,27,1,0,0,2,0,0,0,0,1,1,0,1,0,.250,4,.400,.250,.650,0,0,.---,.---,0,25,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,15,.600,0,0,0,0,1,0.00,.---,25.00,0,1.00,9.00,9.00,9.00,0.00,0.00,0,0,0,0,0
Yovanny Cruz,New York Yankees,26,2,0,1,3,0,1,0,0,3,0,0,1,1,.125,8,.222,.250,.472,0,0,.---,.---,0,26,0.00,2.1,0,0,0,0,0,0,0,0.43,9,7,2,0,0,19,.730,1,0,0,0,2,0.33,.---,11.14,1,-.--,11.57,0.00,3.86,0.00,0.00,0,0,0,0,0
